question,category,level ,answer,
How does Binus handle parent feedback or concerns?,Teaching Quality,School Wide,Parents are welcome to address concern to respective class teachers or any staff according to the subject of the concern.,
What language(s) are used as the primary medium of instruction?,Curriculum & Academic,School Wide,"English is the primary medium of instruction. Students are encouraged to use English daily, though expectations are lower for the youngest learners in EY1.",
How does Binus detect emotional distress early?,Students Well-Being,EYP,"Early detection is facilitated during the enrolment process, where trial classes are observed by a psychologist to assess a student's readiness and well-being.",
"How does Binus ensure harmony between students, teachers, and parents?",Teaching Quality,School Wide,"Binus fosters harmony through multiple communication channels, including MS Teams for tracking assignments, school diaries for progress monitoring, and regular newsletters. Additionally, it facilitates structured interactions such as Parent Teacher Conferences (PTC) and Student Led Conferences, while Binus management and marketing teams discuss and address parental concerns brought forward by the Advisory Committee of Parents (ACOP).",
How are routines designed to give children a sense of safety and predictability?,Students Well-Being,School Wide,"Routines are a core focus of the EY1 level, which aims to introduce school routines and behaviors to children. Predictability is maintained through a consistent daily timetable that includes Circle Time, Recess, and subject-specific blocks.",
Is there any sex education in EYP?,Curriculum & Academic,EYP,Sexual education is taught from Early Years to secondary level with adjustment based on their level.,
Is there chrismast celebration?,Vision & Values,School Wide,Christmas celebration held before or after chrismast and invites parents.,
How long are parents permitted to accompany their children during the initial adaptation period in the Early Years?,Students Well-Being,EYP,Parents are allowed to stay with their child during the first two weeks of school to help with the transition,
Is there a parent community or parent committee?,Teaching Quality,School Wide,"Yes, there is a BINUSIAN Community and an PSG (Parent Support Group) which parents can approach regarding services like carpooling.",
What traditions or daily habits shape Binus’s atmosphere?,Vision & Values,School Wide,"The atmosphere is shaped by daily routines like Circle Time in the Early Years and Classroom Teacher Time at the start of the Primary day. Binus year is also defined by annual traditions such as Spirit Week, Literary Week, United Nations Day, and Independence Day celebrations, alongside various religious festivities.",
What is the core subject in Early Years?,Curriculum & Academic,EYP,"Core Subjects: Students study English Language, Mathematics, Science, Music, Visual Arts, Physical Education, Pendidikan Pancasila, Bahasa Indonesia, and Religion (Agama)",
How does Binus assess a child’s academic level when coming from a different curriculum?,Curriculum & Academic,School Wide,"For Secondary levels, students undergo Placement Assessments in English and Mathematics along with an interview. In Early Years, trial classes are used to observe a child's readiness.",
Where students can keep their book and belongings?,Facility & Operation,School Wide,Students are provided with lockers (secondary) for personal belongings and cabinets inside their class (EYP),
Can my kid have early holiday few days before?,Curriculum & Academic,School Wide,Parents are not allowed to request early holiday for their kids unless there is urgent matter or force majeur.,
Can my kid wearing hijab?,Students Well-Being,Secondary,"Binus encourage students to have same uniform without differentiate their religions, or nationalities.",
Can my kid bring their favorite toys?,Students Well-Being,EYP,Students are not allowed to bring any toys to school unless under teachers's instruction as part of the lesson.,
How does the curriculum support curiosity without overwhelming students?,Curriculum & Academic,School Wide,"Binus uses an inquiry-based approach and manages expectations by level; for example, EY1 students are only expected to ""listen and understand"" simple English instructions, and Mandarin is limited to basic introductory stages (greetings, colors, etc.) to prevent overwhelm.",
What are the specific benefits of the research-based IB approach?,Curriculum & Academic,Secondary,"Adopting a research-based IB approach provides students with several distinct advantages that go beyond traditional academic mastery. While the school uses the Cambridge curriculum for subject depth, it applies IB methodologies to foster a more holistic skill set.",
How does Binus teach students to feel safe expressing themselves?,Students Well-Being,School Wide,"Expression is encouraged from an early age; EY students are taught to express their needs, Primary students lead their own Student Led Conferences, and Secondary students participate in Young Leaders Summits.",
What professional development do teachers receive?,Teaching Quality,School Wide,Consistency across levels is ensured by using the Cambridge International Curriculum as a standard framework and maintaining the same core curriculum focuses (SEL and Character Building) from EY through Grade 12.,
Is there science lab for secondary students?,Facility & Operation,Secondary,"For secondary, there are some science lab: General science lab, Biology lab, physics lab, and chemistry lab.",
How does Binus manage transitions between levels?,Curriculum & Academic,School Wide,"Binus provides a Grade 7 and 10 Transition Programme, a Grade 6 Transition Camp, and EY1 specifically serves as a moments for socialization and readiness before kindergarten.",
What is the role of Form Teachers in CARE?,Teaching Quality,Secondary,"In the Secondary level (Grades 7–12), Form Teachers play a central role in the CARE programme by leading dedicated weekly sessions focused on students' non-academic development.",
What is AP C stream?,Curriculum & Academic,Secondary,"AP C (Social Sciences) stream. This stream focuses on understanding human society, geography, and the business world. Stream Core Subjects: Business, Sociology, and Geography. Syllabus Level: These subjects follow the IGCSE and AS Level syllabi.
",
What child protection policies are in place?,Students Well-Being,School Wide,"Teachers appear to be open to communication through several established channels. In Primary years, parents use MS Teams to follow up on assignments and monitor progress via a school diary.",
Is there any indoor sport place?,Facility & Operation,School Wide,"Binus has Multi-Purpose Sports Hall: A large, air-conditioned indoor space for various sports and school events.",
What are the school uniform costs?,Facility & Operation,School Wide,"Estimated Budget Ranges by Level
Early Years (EY): IDR 430,000 – 600,000 (Daily) and IDR 215,000 – 250,000 (PE).
Primary (Grades 1–6): IDR 480,000 – 645,000 (Daily) and IDR 250,000 – 300,000 (PE).
Secondary (Grades 7–9): IDR 365,000 – 455,000 (Daily) and IDR 300,000 – 500,000 (PE).
Secondary (Grades 10–12): IDR 365,000 – 465,000 (Daily) and IDR 300,000 – 500,000 (PE).",
How are peer relationships guided constructively?,Students Well-Being,EYP,"Peer relationships are guided through Socio-Emotional Learning (SEL) and collaborative activities such as Clubs, Electives, and the Student Council.",
How are reflection and self-assessment incorporated at this level?,Curriculum & Academic,School Wide,"Reflection is incorporated through modern teaching and assessment methods. Additionally, the Interdisciplinary Programme (IDP) at the secondary level encourages students to reflect on and connect knowledge across different subject areas.",
How does Binus support teachers’ emotional well-being?,Teaching Quality,School Wide,Binus organizes staff-specific well-being events such as the BINUS Olympics for Staff and provides scheduled Professional Development Days.,
How is discipline handled for young children?,Teaching Quality,EYP,"Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum.",
Is there swimming lesson?,Curriculum & Academic,School Wide,Swimming lesson available for EY to Secondary level students with some adjustment in schedule and procedure led by PE Teachers and under supervision the Principal.,
"How does Binus celebrate Islamic events (Ramadan, Eid, Maulid, etc.)?",Students Well-Being,School Wide,"Binus celebrates these events through activities like Buka Puasa Bersama (breaking the fast together) and observing holidays such as the Birth of Prophet Muhammad SAW, Eid Al-Fitr, Eid Al-Adha, and the Islamic New Year.",
Is there any expatriate teacher?,Curriculum & Academic,School Wide,"Yes, Binus hire some expatriate teachers to help students grow with differences.",
How does Binus respond when a child feels discouraged or left behind?,Students Well-Being,Secondary,"Binus provides a two-week adaptation period where parents can be present, and Guidance Counselors are available to provide support if a child is struggling to adapt.",
How does Binus support ethical decision-making as independence increases?,Vision & Values,School Wide,Ethical development is integrated into the secondary curriculum through Values Education and Character Building.,
"How do teachers notice when a child is quiet, anxious, or withdrawn?",Teaching Quality,School Wide,"While the sources do not explicitly state the specific methods for identifying these traits, they note that Class Teachers (CT) and Co-Teachers (CoT) accompany students at all times throughout Binus day, allowing for close observation",
How much freedom do young children have to explore at their own rhythm?,Curriculum & Academic,EYP,"The EY environment that encourages exploration. Specifically, EY1 is designed as a moment for socialization and readiness before students transition into kindergarten classes.",
How does Binus observe and document early development?,Curriculum & Academic,EYP,"Binus conducts Trial Classes observed by a psychologist to assess a child's readiness. Progress is monitored through a school diary, and parents receive regular newsletters regarding school activities.",
When is elective for Lower Secondary students?,Curriculum & Academic,Secondary,Secondary (Grades 7–9) electives : Scheduled Monday through Thursday from 15:10 to 15:50,
What kind of person do children usually become after several years here?,Vision & Values,School Wide,"Children are nurtured to become individuals who possess a love for life-long learning and are equipped with 21st-century skills such as research and critical thinking. They are expected to develop strong self-management and social skills, alongside a foundation of values and character built through socio-emotional learning.",
Are there quiet spaces for reflection or emotional regulation?,Facility & Operation,School Wide,Binus facilities include a Mushola (prayer room) for spiritual reflection and a Learning Resource Centre (Library) that provides a quiet environment for students.,
How often do parents receive progress reports?,Teaching Quality,School Wide,Parents will be invited to termly based PTC (Parent Teacher Conference) to discuss about student's progress.,
Are CCTV and access controls implemented?,Facility & Operation,School Wide,"CCTV is implemented on campus, including at the pool area. ",
When is elective for Early Years students?,Curriculum & Academic,EYP,Early Years (ECY 2–3) elective: Held on Wednesdays from 12:30 to 13:30,
How does Binus help young children integrate socially with local peers?,Students Well-Being,School Wide,The curriculum is designed to promote well-being and develop social skills through inquiry and activity-based learning.,
How do you prevent children from feeling pressure or fear?,Students Well-Being,School Wide,"Binus utilizes continual assessments, such as performance tests and quizzes, rather than relying solely on high-pressure final exams to track progress.",
"What types of ""Experiential Learning"" activities, such as specific local trips, are organized for Early Years students?",Curriculum & Academic,EYP,"There are learning journeys or field trips for EYP every semester, and each activity is designed to align with both the academic and affective aspects of the curriculum.",
How does Binus ensure strong foundations in literacy and numeracy?,Curriculum & Academic,EYP,Foundations are built through a structured English Language and Mathematics curriculum that begins in Early Years. ,
What makes this school different from other schools in the same area?,Vision & Values,School Wide,Binus is unique for adopting a hybrid approach that combines Cambridge subject mastery and research-based methodologies.,
What are the specific university destinations for graduates?,Facility & Operation,Secondary,"Public Universities (PTN): Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Institut Teknologi Bandung (ITB), Institut Teknologi Sepuluh Nopember (ITS), Universitas Padjadjaran (UNPAD), and Universitas Diponegoro (UNDIP).
Private Universities (PTS): BINUS University and BINUS University International
. The school curriculum specifically prioritises direct entry to these institutions
Australia: The University of New South Wales (UNSW), The University of Sydney, The University of Melbourne, The University of Queensland, The University of Adelaide, and The University of Western Australia
New Zealand: The University of Auckland
The Chinese University of Hong Kong
Canada: University of British Columbia (UBC)
United States: Purdue University
University College London (UCL), The University of Manchester, and University of Leeds",
How are classroom expectations explained to international students?,Teaching Quality,School Wide,Expectations regarding behavior and routines are gently introduced by teachers during the settling-in phase and Orientation.,
