question,answer,negative
How do you work with parents when a child needs extra care?,"If a child requires extra support during their adaptation period, parents are asked to collaborate closely with Binus, which may include being present for the first two weeks and receiving assistance from Guidance Counselors.","Yes, there is a BINUSIAN Community and an PSG (Parent Support Group) which parents can approach regarding services like carpooling."
How does Binus avoid over-stimulation or excessive pressure on children?,"While a specific policy isn't detailed, Binus integrates regular Recess and Lunch breaks into the daily schedule to allow students to recharge. In the Primary years, Class Teachers and Co-Teachers accompany students at all times, which allows for constant monitoring of student well-being.", Binus is equipped with a school clinic to handle medical needs.
How are moral choices discussed at an age-appropriate level?,"Moral development is addressed through Values Education and Character Building programmes, as well as Agama (Religion) and Pendidikan Pancasila subjects which begin in EY1.",Ethical development is integrated into the secondary curriculum through Values Education and Character Building.
How does Binus cultivate inner discipline and self-awareness in students?,"Discipline and self-awareness are cultivated through Socio-Emotional Learning (SEL), character building programs, and the ""Spirit Week"" initiatives.","Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum."
Can my kid order food from online using Gojek/Grab?,Students can purchase meals from cafeteria or bring from home.,"Cafeteria provides halal meals for students to be purchased, however for EYP students, we encourage them to bring it from home"
How is campus security managed?,Binus has 24 Hours security system. ,"CCTV is implemented on campus, including at the pool area. "
is there any extra fee for electives?,"Additional Costs for electives: 3D Clay requires an extra material fee of IDR 65,000 per session and specific uniforms or equipment are mandatory for classes like Wushu (uniform/shoes), Muay Thai (handwraps/gloves), and Fun Cooking (apron).","There are additional fees for elective activities, which are typically structured as a yearly cost for 16 sessions. While most electives have a standard fee, certain activities have higher costs or require extra payments for materials and equipment."
Are enrichment programs available for high-achieving students?,"High-achieving students are recognized through ""Moving Up & Recognition"" ceremonies. They are also encouraged to participate in external competitions like the TOPAZ Olympiad or the Bahasa Indonesia Writing Competition.","Students are encouraged to participate in various academic and talent competitions (e.g., Topaz Olympiad, Writing competitions), while being supported by Guidance Counselors (GC) and psychologists to manage adaptation and readiness."
What is the class size/capacity in Binus School Bekasi?,"Binus maintains small class capacities—a maximum of 24 students in Early Years and Primary, and 28 in Secondary—to help teachers effectively manage diverse student personalities","Binus ensures consistency by following structured Cambridge International and National Curricula across all levels. Additionally, there is a uniformity admission test for the Secondary level to ensure students enter with a consistent baseline. Class sizes are also capped (maximum 24 students for Primary and 28 for Secondary) to maintain standards."
How are students guided in developing responsibility and independence?,"Responsibility is fostered through a focus on self-management skills and Industry-Based Learning experiences at the Secondary level. In the Early Years, independence is encouraged through practical routines like toilet training.","Children learn responsibility through a curriculum focus on self-management skills. In the Early Years, independence is encouraged naturally through routines like toilet training, where students are expected to become independent and express their needs."
Can my kid bring their gadget?,Binus incorporated Bring Your Own Device to primary-secondary students in facilitating their learning activities under teachers supervision and regulation.,Students are not allowed to bring any toys to school unless under teachers's instruction as part of the lesson.
What specific topics are introduced in Mandarin language lessons for Early Years students?,"Mandarin lessons at this level are in the ""introduction stages"" and cover topics such as greetings, colours, numbers, and animals","In EY1, the focus is on listening and comprehension of simple English; as students progress, they are encouraged to speak it daily. Mandarin is also introduced through basic stages like greetings and colors."
How is progress monitored during the first year?,"In Primary levels, progress is tracked through continual assessments (performance tests and quizzes), school diaries, and newsletters.",A child's progress is tracked through continual assessments consisting of performance tests and quizzes
How does Binus help students manage future-related anxiety?,"Binus provides Guidance Counselors (GC) to help direct students toward their university pathways and career majors. Additionally, for those aiming for competitive international universities, extra classes are provided to prepare for the Cambridge A-Level Examinations.","Trust is established through trial classes observed by psychologists to ensure a child's readiness before enrollment. Binus further strengthens this bond by involving parents in Student Led Conferences, providing transparency through continual assessments, and encouraging parents to monitor school diaries and MS Teams"
How many students in total?,In total students are enrolled about 1000.,Twins students can be separated however it depends on how many classes in the level she/he enrolled to.
How does Binus support students with different learning paces?,Binus implementing LMS for all students so they can recall the material anytime and anywhere.,"Binus maintains small class capacities—a maximum of 24 students in Early Years and Primary, and 28 in Secondary—to help teachers effectively manage diverse student personalities"
How are Islamic values integrated into daily lessons and school culture?,"we have 5 religion study, moslem students have musola for them to pray","islamic Values: These are maintained through Agama (Religion) education, which is mandatory from EY1 through Grade 12. Additionally, Binus provides specific Islamic electives such as ""Ngaji Yuk!"" and ""Shalat Class"" to reinforce religious practices."
What onboarding or orientation support is provided for newly arrived students?,"Binus holds Parent and Student Orientation Days at the start of the academic year. For early childhood levels, parents are allowed to accompany their child during the first two weeks of adaptation.","For Secondary levels, students undergo Placement Assessments in English and Mathematics along with an interview. In Early Years, trial classes are used to observe a child's readiness."
Are teachers trained specifically in early childhood development?,"Yes, teachers have regular training, and they are graduated from good university",The Early Childhood curriculum explicitly focuses on developing social skills. Guidance Counselors and teachers are available to assist with the settling-in process.
How are cultural differences respected at this level?,The level respects diversity by celebrating various religious holidays and cultural weeks.,"Respect for differences is fostered through a curriculum that prioritises Socio-Emotional Learning, SPIRIT Values, and Character Building at all levels. Students in Primary years are taught an awareness and appreciation of local language and culture, while religion education (PABP) for five religions begins as early as EY1. Secondary students build on this foundation through a strong emphasis on current affairs and international issues."
Is wifi available for students?,The campus is fully equipped with Wi-Fi connectivity and reticulated internet/AV cabling.,In total students are enrolled about 1000.
Tell me more about the Grade 12 external exam prep,The Grade 12 External Exam Preparation (EEP) is a comprehensive and structured program designed to equip students for the challenges of prestigious international examinations. Preparation starts at Grade 12 with the primary focus is on the Cambridge AS & A Level Examinations.,"Binus provides comprehensive external exam preparation (EEP) starting from Grade 12. For students aiming for top universities, extra classes are provided to help them prepare for the Cambridge A-Level Examinations."
What is standard fees electives?,"Standard Electives: Most activities cost IDR 1,536,000 to IDR 1,550,000 per year","There are additional fees for elective activities, which are typically structured as a yearly cost for 16 sessions. While most electives have a standard fee, certain activities have higher costs or require extra payments for materials and equipment."
How do you teach empathy and kindness in daily routines?,"Empathy and kindness are integrated into daily routines through socialisation and behavior guidance, particularly in the Early Years, to ensure students are ready for more formal schooling. The overall educational framework emphasizes well-being and social skills as primary curriculum focuses.","Discipline and self-awareness are cultivated through Socio-Emotional Learning (SEL), character building programs, and the ""Spirit Week"" initiatives."
is there music studio?,"Binus has Music Studios: Rooms containing instruments such as keyboards, guitars, and traditional instruments","Yes, Binus provides an Indoor & Outdoor Discovery Area and specific rooms for Visual Arts and Music to facilitate exploration"
How to pay in school cafeteria?,Transaction in school cafeteria is using Flazz integrated in students' id card.,Students can purchase meals from cafeteria or bring from home.
How are creativity and imagination protected alongside academics?,"The EY timetable includes dedicated periods for Visual Arts and Music. Students also have access to various creative electives such as Violin, Drawing Art, Art & Craft, Ballet, and Modern Dance.","The overarching theme is ""Fostering and Empowering Society in Building and Serving the Nation"". This is reflected in daily practice through a strong focus on character building and preparing students with 21st-century skills like critical thinking and research"
Is there any extracurricular activities in STEM and technology?,"Students can participate in Robotics (available from Early Years through High School), 3D Animation (Grades 4–8), E-Sports, Clevio Coding (Grades 4–6), and Digital Art","Core Subjects: Students study English Language, Mathematics, Science, Music, Visual Arts, Physical Education, Pendidikan Pancasila, Bahasa Indonesia, and Religion (Agama)"
How does Binus support university or career preparation?,Binus provides External Exam Preparation (EEP) starting in Grade 12. Guidance Counselors assist students in selecting majors and navigating university application paths.,"Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams."
"How long has Binus been operating, and what are its major milestones?","While the broader BINUS organization has been operating for 43 years, the Bekasi campus specifically celebrated its 10-Year Anniversary in 2025.",Binus has 24 Hours security system. 
How does Binus help families plan long-term education pathways?,Binus employs Guidance Counsellors (GC) to direct students toward university paths and provides preparation for Cambridge A Level Exams for those seeking to study abroad. There is also a focus on direct entry to BINUS Universities.,"Binus provides a two-week adaptation period where parents can be present, and Guidance Counselors are available to provide support if a child is struggling to adapt."
"How does Binus encourage mindfulness, reflection, or calm focus in daily routines?",Mindfulness and focus are encouraged through daily Circle Time in the Early Years curriculum and scheduled CARE sessions for both Early Years and Primary students.,"Binus provides facilities such as sheltered walkways and ramp access for safe and orderly movement. The daily schedule also includes structured ""Circle Time"" and ""CARE Sessions"" to help students focus."
When is the CARE time?,"CARE sessions are held every Friday, though the timing varies by level",Focus is built through daily Circle Time and scheduled CARE Sessions.
What is AP A stream?,"AP A (Pure Science & Advanced Math) stream. This stream is designed for students focusing on engineering, physical sciences, or advanced mathematics. Stream Core Subjects: Chemistry, Physics, and Additional Mathematics. Syllabus Level: Physics and Chemistry follow the IGCSE/AS Level syllabus, while Additional Mathematics progresses to the A Level syllabus.","There are four major streams available, AP A, AP B, AP C, and AP D stream."
"Are internships, projects, or community service programs available?","Binus offers Student Development Programme at the Secondary level to connect students with real-world applications. Students also engage in interdisciplinary learning (IDP) and research-based projects, which are central to Binus’s hybrid Cambridge-IB methodology. Community service is actively encouraged through the Student Council, which organizes events like Primary Student Council Community Service","Students are prepared for adulthood through leadership workshops, community service through the Student Council, and a curriculum designed to give them a competitive edge in the global job market."
When is elective for Primary students?,Primary (Grades 1–6) electives: Held on Tuesdays or Thursdays from 14:00 to 15:00,Secondary (Grades 11–12): Electives are held on Wednesdays (15:00–16:30) and Clubs on Thursdays (15:10–16:10)
Is there any parking fee for parents?,"Free Parking area provided for teachers, parents, and visitor.","Yes, there is a BINUSIAN Community and an PSG (Parent Support Group) which parents can approach regarding services like carpooling."
Tell me more about interdisciplinary learning (IDP) projects.,"Interdisciplinary Learning (IDP) is a core component of the curriculum at the Secondary level, designed to provide students with a holistic and integrated educational experience
Here are the specific details regarding IDP projects based on the sources:
1. Integration of Cambridge and IB Methodologies
While the school follows the Cambridge (CAIE) curriculum for its subject depth, it adopts the IB methodology for its learning approach
. IDP projects are the practical application of this hybrid model, focusing on connecting different subjects rather than teaching them in isolation.
2. Focus and Purpose
The primary goals of these projects are to develop:
21st-Century Skills: Preparing students for modern global challenges.
Research and Critical Thinking: Moving beyond rote memorisation to inquiry-based learning.
Real-World Connections: Helping students understand how concepts from various fields (such as Science, Humanities, and Mathematics) overlap and interact.",Learning is kept meaningful through interdisciplinary learning (IDP) that connects different subjects and industry-based learning experiences at the Secondary level
How is akhlaq (character and manners) taught and reinforced?," Character and manners are reinforced through the Values Education and Character Building curriculum focus. This is further supported by Agama (Religion) education for five religions, which begins in EY1, and daily routines that focus on socialisation and behavior guidance.","Consistency is maintained by making Socio-Emotional Learning and Character Building core curriculum pillars from EY through Grade 12. Additionally, subjects like Agama (Religion) and Pendidikan Pancasila are taught consistently across all three levels to reinforce shared values."
How does the environment promote calm rather than constant stimulation?,"Binus provides facilities such as sheltered walkways and ramp access for safe and orderly movement. The daily schedule also includes structured ""Circle Time"" and ""CARE Sessions"" to help students focus.",Expectations regarding behavior and routines are gently introduced by teachers during the settling-in phase and Orientation.
How does Binus help students reflect on their actions rather than simply punish?,"While specific disciplinary procedures are not detailed, Binus utilizes Student Led Conferences and a curriculum centered on character building to foster reflection. The use of CARE sessions in the secondary timetable also provides a dedicated space for student-teacher interaction and personal development.","Binus conducts Trial Classes observed by a psychologist to assess a child's readiness. Progress is monitored through a school diary, and parents receive regular newsletters regarding school activities."
How are students supported when they lose motivation or confidence?,Support is provided through Guidance Counselors (GC) who offer direction for students' academic and personal goals. The curriculum's focus on character building also aims to develop student resilience.,Students are encourage to be responsible and keep save their own belonging.
Is transportation provided?,"Binus provides designated carpooling areas in various locations (e.g., Vida, Wisma Asri, Summarecon); parents are directed to ACOP for details.","Yes, there is a BINUSIAN Community and an PSG (Parent Support Group) which parents can approach regarding services like carpooling."
What does a typical CARE session involve?,"The core curricular focus of CARE time: The sessions are the practical application of the school's commitment to Socio-Emotional Learning (SEL), Values Education, and Character Building. In the Early Years, these sessions specifically aim to promote well-being and develop social skills.","CARE sessions are held every Friday, though the timing varies by level"
How does Binus prepare students for exams without causing burnout?,"To manage the demands of Grade 12, Binus provides structured preparation (EEP) from the beginning of the year and offers extra classes for those who need help with study habits or language, aiming for a well-equipped and confident transition to exams.","Binus utilizes continual assessments, such as performance tests and quizzes, rather than relying solely on high-pressure final exams to track progress."
Is there any fieldtrip to foreign countries for secondary students?,"Yes, we had some fielt trip program to some countries like China, Vietnam, and other countries depend on the curriculum or affective topics that the students are learning at that moment with their teachers.","There are learning journeys or field trips for EYP every semester, and each activity is designed to align with both the academic and affective aspects of the curriculum."
How does Binus communicate progress without focusing on grades?,"Binus provides feedback through Student Led Conferences, where students take the lead in presenting their own learning journey. rogress is also communicated through continual assessments such as performance tests and quizzes, and parents stay informed via Binus diary, newsletters, and scheduled Parent Teacher Conferences (PTC) throughout the year","Binus utilizes continual assessments, such as performance tests and quizzes, rather than relying solely on high-pressure final exams to track progress."
How does Binus ensure consistency across different classes and levels?,"Binus ensures consistency by following structured Cambridge International and National Curricula across all levels. Additionally, there is a uniformity admission test for the Secondary level to ensure students enter with a consistent baseline. Class sizes are also capped (maximum 24 students for Primary and 28 for Secondary) to maintain standards.","Binus uses transitional levels, such as EY1, to focus on socialisation and routine readiness before students enter more formal kindergarten classes. Readiness is prioritised; if a child is not yet prepared for a higher level, Binus may recommend staying in a lower level after a trial class assessment. o prepare Primary students for Secondary, Binus uses the Cambridge Checkpoint to assess where they are currently, ensuring a smooth transition based on their actual standing."
"What pathways are available after upper secondary (university, vocational, international)?",Graduates have a pathway for direct entry to BINUS Universities or are prepared for international universities worldwide via their Cambridge AS & A Level results.,"Yes, Guidance Counselors provide specific direction on university majors and the necessary preparations for both local and international higher education."
How does Binus handle parent feedback or concerns?,Parents are welcome to address concern to respective class teachers or any staff according to the subject of the concern.,"Binus fosters harmony through multiple communication channels, including MS Teams for tracking assignments, school diaries for progress monitoring, and regular newsletters. Additionally, it facilitates structured interactions such as Parent Teacher Conferences (PTC) and Student Led Conferences, while Binus management and marketing teams discuss and address parental concerns brought forward by the Advisory Committee of Parents (ACOP)."
What language(s) are used as the primary medium of instruction?,"English is the primary medium of instruction. Students are encouraged to use English daily, though expectations are lower for the youngest learners in EY1.","Binus provides an immersive environment where English is encouraged daily, and students are expected to listen and understand simple instructions starting in EY1. Mandarin is introduced as an additional language starting at the Early Years level with basics like greetings and numbers, and Bahasa Indonesia is included as a core subject."
How does Binus detect emotional distress early?,"Early detection is facilitated during the enrolment process, where trial classes are observed by a psychologist to assess a student's readiness and well-being.","Binus conducts Trial Classes observed by a psychologist to assess a child's readiness. Progress is monitored through a school diary, and parents receive regular newsletters regarding school activities."
"How does Binus ensure harmony between students, teachers, and parents?","Binus fosters harmony through multiple communication channels, including MS Teams for tracking assignments, school diaries for progress monitoring, and regular newsletters. Additionally, it facilitates structured interactions such as Parent Teacher Conferences (PTC) and Student Led Conferences, while Binus management and marketing teams discuss and address parental concerns brought forward by the Advisory Committee of Parents (ACOP).","Binus maintains small class capacities—a maximum of 24 students in Early Years and Primary, and 28 in Secondary—to help teachers effectively manage diverse student personalities"
How are routines designed to give children a sense of safety and predictability?,"Routines are a core focus of the EY1 level, which aims to introduce school routines and behaviors to children. Predictability is maintained through a consistent daily timetable that includes Circle Time, Recess, and subject-specific blocks.","Safety is maintained through orderly infrastructure such as sheltered walkways and ramp access, as well as teacher supervision. "
Is there any sex education in EYP?,Sexual education is taught from Early Years to secondary level with adjustment based on their level., The EY1 level includes toilet training with the goal of helping students become independent and able to express their personal needs
Is there chrismast celebration?,Christmas celebration held before or after chrismast and invites parents.,"Binus celebrates these events through activities like Buka Puasa Bersama (breaking the fast together) and observing holidays such as the Birth of Prophet Muhammad SAW, Eid Al-Fitr, Eid Al-Adha, and the Islamic New Year."
How long are parents permitted to accompany their children during the initial adaptation period in the Early Years?,Parents are allowed to stay with their child during the first two weeks of school to help with the transition,"For children struggling with adaptation, parents are required to be present for the first two weeks of school. Guidance Counselors (GC) are also available to accompany and support students during this transition period."
Is there a parent community or parent committee?,"Yes, there is a BINUSIAN Community and an PSG (Parent Support Group) which parents can approach regarding services like carpooling.",Parents will be invited to termly based PTC (Parent Teacher Conference) to discuss about student's progress.
What traditions or daily habits shape Binus’s atmosphere?,"The atmosphere is shaped by daily routines like Circle Time in the Early Years and Classroom Teacher Time at the start of the Primary day. Binus year is also defined by annual traditions such as Spirit Week, Literary Week, United Nations Day, and Independence Day celebrations, alongside various religious festivities.","Binus provides facilities such as sheltered walkways and ramp access for safe and orderly movement. The daily schedule also includes structured ""Circle Time"" and ""CARE Sessions"" to help students focus."
What is the core subject in Early Years?,"Core Subjects: Students study English Language, Mathematics, Science, Music, Visual Arts, Physical Education, Pendidikan Pancasila, Bahasa Indonesia, and Religion (Agama)","The Early Years curriculum is inquiry and activity-based. It focuses on transitioning children into a school environment through socialization, routine building, and developing self-management and social skills."
How does Binus assess a child’s academic level when coming from a different curriculum?,"For Secondary levels, students undergo Placement Assessments in English and Mathematics along with an interview. In Early Years, trial classes are used to observe a child's readiness.","Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams."
Where students can keep their book and belongings?,Students are provided with lockers (secondary) for personal belongings and cabinets inside their class (EYP),Students are encourage to be responsible and keep save their own belonging.
Can my kid have early holiday few days before?,Parents are not allowed to request early holiday for their kids unless there is urgent matter or force majeur.,"Binus holds Parent and Student Orientation Days at the start of the academic year. For early childhood levels, parents are allowed to accompany their child during the first two weeks of adaptation."
Can my kid wearing hijab?,"Binus encourage students to have same uniform without differentiate their religions, or nationalities.",Students are not allowed to bring any toys to school unless under teachers's instruction as part of the lesson.
Can my kid bring their favorite toys?,Students are not allowed to bring any toys to school unless under teachers's instruction as part of the lesson.,Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
How does the curriculum support curiosity without overwhelming students?,"Binus uses an inquiry-based approach and manages expectations by level; for example, EY1 students are only expected to ""listen and understand"" simple English instructions, and Mandarin is limited to basic introductory stages (greetings, colors, etc.) to prevent overwhelm.",The curriculum is designed to promote well-being and develop social skills through inquiry and activity-based learning.
What are the specific benefits of the research-based IB approach?,"Adopting a research-based IB approach provides students with several distinct advantages that go beyond traditional academic mastery. While the school uses the Cambridge curriculum for subject depth, it applies IB methodologies to foster a more holistic skill set.",Binus is unique for adopting a hybrid approach that combines Cambridge subject mastery and research-based methodologies.
How does Binus teach students to feel safe expressing themselves?,"Expression is encouraged from an early age; EY students are taught to express their needs, Primary students lead their own Student Led Conferences, and Secondary students participate in Young Leaders Summits.","Trust is established through trial classes observed by psychologists to ensure a child's readiness before enrollment. Binus further strengthens this bond by involving parents in Student Led Conferences, providing transparency through continual assessments, and encouraging parents to monitor school diaries and MS Teams"
What professional development do teachers receive?,Consistency across levels is ensured by using the Cambridge International Curriculum as a standard framework and maintaining the same core curriculum focuses (SEL and Character Building) from EY through Grade 12.,The academic calendar includes dedicated Professional Development Days for teachers throughout the year.
Is there science lab for secondary students?,"For secondary, there are some science lab: General science lab, Biology lab, physics lab, and chemistry lab.",There is science lab for primary students. They use the lab during science lesson.
How does Binus manage transitions between levels?,"Binus provides a Grade 7 and 10 Transition Programme, a Grade 6 Transition Camp, and EY1 specifically serves as a moments for socialization and readiness before kindergarten.","Binus uses transitional levels, such as EY1, to focus on socialisation and routine readiness before students enter more formal kindergarten classes. Readiness is prioritised; if a child is not yet prepared for a higher level, Binus may recommend staying in a lower level after a trial class assessment. o prepare Primary students for Secondary, Binus uses the Cambridge Checkpoint to assess where they are currently, ensuring a smooth transition based on their actual standing."
What is the role of Form Teachers in CARE?,"In the Secondary level (Grades 7–12), Form Teachers play a central role in the CARE programme by leading dedicated weekly sessions focused on students' non-academic development.","Relationships are nurtured through CARE sessions with Form Teachers and daily interaction, as Class Teachers (CT) and Co-Teachers (CoT) accompany students throughout the day in younger years."
What is AP C stream?,"AP C (Social Sciences) stream. This stream focuses on understanding human society, geography, and the business world. Stream Core Subjects: Business, Sociology, and Geography. Syllabus Level: These subjects follow the IGCSE and AS Level syllabi.
","There are four major streams available, AP A, AP B, AP C, and AP D stream."
What child protection policies are in place?,"Teachers appear to be open to communication through several established channels. In Primary years, parents use MS Teams to follow up on assignments and monitor progress via a school diary.",Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
Is there any indoor sport place?,"Binus has Multi-Purpose Sports Hall: A large, air-conditioned indoor space for various sports and school events.","Like the outdoor version provided for Early Years students (which includes tools for sensory play and exploration), the indoor discovery area provides a controlled environment for children to develop social and self-management skills through hands-on activities."
What are the school uniform costs?,"Estimated Budget Ranges by Level
Early Years (EY): IDR 430,000 – 600,000 (Daily) and IDR 215,000 – 250,000 (PE).
Primary (Grades 1–6): IDR 480,000 – 645,000 (Daily) and IDR 250,000 – 300,000 (PE).
Secondary (Grades 7–9): IDR 365,000 – 455,000 (Daily) and IDR 300,000 – 500,000 (PE).
Secondary (Grades 10–12): IDR 365,000 – 465,000 (Daily) and IDR 300,000 – 500,000 (PE).",In total students are enrolled about 1000.
How are peer relationships guided constructively?,"Peer relationships are guided through Socio-Emotional Learning (SEL) and collaborative activities such as Clubs, Electives, and the Student Council.","Trust is established through trial classes observed by psychologists to ensure a child's readiness before enrollment. Binus further strengthens this bond by involving parents in Student Led Conferences, providing transparency through continual assessments, and encouraging parents to monitor school diaries and MS Teams"
How are reflection and self-assessment incorporated at this level?,"Reflection is incorporated through modern teaching and assessment methods. Additionally, the Interdisciplinary Programme (IDP) at the secondary level encourages students to reflect on and connect knowledge across different subject areas.","In Primary levels, progress is tracked through continual assessments (performance tests and quizzes), school diaries, and newsletters."
How does Binus support teachers’ emotional well-being?,Binus organizes staff-specific well-being events such as the BINUS Olympics for Staff and provides scheduled Professional Development Days.,"Binus integrates Cambridge international standards with a strong focus on Socio-Emotional Learning, Values Education, and character building at all levels. While maintaining academic rigor, Binus explicitly includes ""Promotes well-being"" as a primary curriculum focus in the Early Years to ensure a balanced development."
How is discipline handled for young children?,"Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum.",Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
Is there swimming lesson?,Swimming lesson available for EY to Secondary level students with some adjustment in schedule and procedure led by PE Teachers and under supervision the Principal.,There will teacher and helper to help EY students taking a shower after swimming lesson.
"How does Binus celebrate Islamic events (Ramadan, Eid, Maulid, etc.)?","Binus celebrates these events through activities like Buka Puasa Bersama (breaking the fast together) and observing holidays such as the Birth of Prophet Muhammad SAW, Eid Al-Fitr, Eid Al-Adha, and the Islamic New Year.","In Binus, we try our best to facilitate all religion events and celebrations."
Is there any expatriate teacher?,"Yes, Binus hire some expatriate teachers to help students grow with differences.","Yes, teachers have regular training, and they are graduated from good university"
How does Binus respond when a child feels discouraged or left behind?,"Binus provides a two-week adaptation period where parents can be present, and Guidance Counselors are available to provide support if a child is struggling to adapt.","Binus conducts Trial Classes observed by a psychologist to assess a child's readiness. Progress is monitored through a school diary, and parents receive regular newsletters regarding school activities."
How does Binus support ethical decision-making as independence increases?,Ethical development is integrated into the secondary curriculum through Values Education and Character Building.,"Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams."
"How do teachers notice when a child is quiet, anxious, or withdrawn?","While the sources do not explicitly state the specific methods for identifying these traits, they note that Class Teachers (CT) and Co-Teachers (CoT) accompany students at all times throughout Binus day, allowing for close observation",Expectations regarding behavior and routines are gently introduced by teachers during the settling-in phase and Orientation.
How much freedom do young children have to explore at their own rhythm?,"The EY environment that encourages exploration. Specifically, EY1 is designed as a moment for socialization and readiness before students transition into kindergarten classes.",Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
How does Binus observe and document early development?,"Binus conducts Trial Classes observed by a psychologist to assess a child's readiness. Progress is monitored through a school diary, and parents receive regular newsletters regarding school activities.","Binus holds Parent and Student Orientation Days at the start of the academic year. For early childhood levels, parents are allowed to accompany their child during the first two weeks of adaptation."
When is elective for Lower Secondary students?,Secondary (Grades 7–9) electives : Scheduled Monday through Thursday from 15:10 to 15:50,Secondary (Grades 11–12): Electives are held on Wednesdays (15:00–16:30) and Clubs on Thursdays (15:10–16:10)
What kind of person do children usually become after several years here?,"Children are nurtured to become individuals who possess a love for life-long learning and are equipped with 21st-century skills such as research and critical thinking. They are expected to develop strong self-management and social skills, alongside a foundation of values and character built through socio-emotional learning.",Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
Are there quiet spaces for reflection or emotional regulation?,Binus facilities include a Mushola (prayer room) for spiritual reflection and a Learning Resource Centre (Library) that provides a quiet environment for students.,"Discipline and self-awareness are cultivated through Socio-Emotional Learning (SEL), character building programs, and the ""Spirit Week"" initiatives."
How often do parents receive progress reports?,Parents will be invited to termly based PTC (Parent Teacher Conference) to discuss about student's progress.,A child's progress is tracked through continual assessments consisting of performance tests and quizzes
Are CCTV and access controls implemented?,"CCTV is implemented on campus, including at the pool area. ","Yes, there is a BINUSIAN Community and an PSG (Parent Support Group) which parents can approach regarding services like carpooling."
When is elective for Early Years students?,Early Years (ECY 2–3) elective: Held on Wednesdays from 12:30 to 13:30,Primary (Grades 1–6) electives: Held on Tuesdays or Thursdays from 14:00 to 15:00
How does Binus help young children integrate socially with local peers?,The curriculum is designed to promote well-being and develop social skills through inquiry and activity-based learning.,"Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum."
How do you prevent children from feeling pressure or fear?,"Binus utilizes continual assessments, such as performance tests and quizzes, rather than relying solely on high-pressure final exams to track progress.",Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
"What types of ""Experiential Learning"" activities, such as specific local trips, are organized for Early Years students?","There are learning journeys or field trips for EYP every semester, and each activity is designed to align with both the academic and affective aspects of the curriculum.","The Early Years curriculum is inquiry and activity-based. It focuses on transitioning children into a school environment through socialization, routine building, and developing self-management and social skills."
How does Binus ensure strong foundations in literacy and numeracy?,Foundations are built through a structured English Language and Mathematics curriculum that begins in Early Years. ,"Binus ensures consistency by following structured Cambridge International and National Curricula across all levels. Additionally, there is a uniformity admission test for the Secondary level to ensure students enter with a consistent baseline. Class sizes are also capped (maximum 24 students for Primary and 28 for Secondary) to maintain standards."
What makes this school different from other schools in the same area?,Binus is unique for adopting a hybrid approach that combines Cambridge subject mastery and research-based methodologies.,Secondary (Grades 11–12): Electives are held on Wednesdays (15:00–16:30) and Clubs on Thursdays (15:10–16:10)
What are the specific university destinations for graduates?,"Public Universities (PTN): Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Institut Teknologi Bandung (ITB), Institut Teknologi Sepuluh Nopember (ITS), Universitas Padjadjaran (UNPAD), and Universitas Diponegoro (UNDIP).
Private Universities (PTS): BINUS University and BINUS University International
. The school curriculum specifically prioritises direct entry to these institutions
Australia: The University of New South Wales (UNSW), The University of Sydney, The University of Melbourne, The University of Queensland, The University of Adelaide, and The University of Western Australia
New Zealand: The University of Auckland
The Chinese University of Hong Kong
Canada: University of British Columbia (UBC)
United States: Purdue University
University College London (UCL), The University of Manchester, and University of Leeds",Graduates have a pathway for direct entry to BINUS Universities or are prepared for international universities worldwide via their Cambridge AS & A Level results.
How are classroom expectations explained to international students?,Expectations regarding behavior and routines are gently introduced by teachers during the settling-in phase and Orientation.,"Binus uses an inquiry-based approach and manages expectations by level; for example, EY1 students are only expected to ""listen and understand"" simple English instructions, and Mandarin is limited to basic introductory stages (greetings, colors, etc.) to prevent overwhelm."
